alias,canonical_name
ALG,Algeria
ARG,Argentina
AUS,Australia
AUT,Austria
BEL,Belgium
BIH,Bosnia & Herzegovina
BRA,Brazil
CAN,Canada
CIV,Ivory Coast
COD,DR Congo
COL,Colombia
CPV,Cape Verde
CRO,Croatia
CUW,Curaçao
CZE,Czech Republic
ECU,Ecuador
EGY,Egypt
ENG,England
ESP,Spain
FRA,France
GER,Germany
GHA,Ghana
HAI,Haiti
IRN,Iran
IRQ,Iraq
JOR,Jordan
JPN,Japan
KOR,South Korea
KSA,Saudi Arabia
MAR,Morocco
MEX,Mexico
NED,Netherlands
NOR,Norway
NZL,New Zealand
PAN,Panama
PAR,Paraguay
POR,Portugal
QAT,Qatar
RSA,South Africa
SCO,Scotland
SEN,Senegal
SUI,Switzerland
SWE,Sweden
TUN,Tunisia
TUR,Turkey
URY,Uruguay
USA,USA
UZB,Uzbekistan
Bosnia and Herzegovina,Bosnia & Herzegovina
Congo DR,DR Congo
Czechia,Czech Republic
Türkiye,Turkey
