round,match_date,kickoff_at_utc,team1,team2,score_team1,score_team2,group_name,ground
Matchday 1,2026-06-11,2026-06-11T19:00:00Z,Mexico,South Africa,2,0,Group A,Mexico City
Matchday 1,2026-06-11,2026-06-12T02:00:00Z,South Korea,Czech Republic,2,1,Group A,Guadalajara (Zapopan)
Matchday 8,2026-06-18,2026-06-18T16:00:00Z,Czech Republic,South Africa,1,1,Group A,Atlanta
Matchday 8,2026-06-18,2026-06-19T01:00:00Z,Mexico,South Korea,1,0,Group A,Guadalajara (Zapopan)
Matchday 14,2026-06-24,2026-06-25T01:00:00Z,Czech Republic,Mexico,0,3,Group A,Mexico City
Matchday 14,2026-06-24,2026-06-25T01:00:00Z,South Africa,South Korea,1,0,Group A,Monterrey (Guadalupe)
Matchday 2,2026-06-12,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,1,1,Group B,Toronto
Matchday 3,2026-06-13,2026-06-13T19:00:00Z,Qatar,Switzerland,1,1,Group B,San Francisco Bay Area (Santa Clara)
Matchday 8,2026-06-18,2026-06-18T19:00:00Z,Switzerland,Bosnia & Herzegovina,4,1,Group B,Los Angeles (Inglewood)
Matchday 8,2026-06-18,2026-06-18T22:00:00Z,Canada,Qatar,6,0,Group B,Vancouver
Matchday 14,2026-06-24,2026-06-24T19:00:00Z,Switzerland,Canada,2,1,Group B,Vancouver
Matchday 14,2026-06-24,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,3,1,Group B,Seattle
Matchday 3,2026-06-13,2026-06-13T22:00:00Z,Brazil,Morocco,1,1,Group C,New York/New Jersey (East Rutherford)
Matchday 3,2026-06-13,2026-06-14T01:00:00Z,Haiti,Scotland,0,1,Group C,Boston (Foxborough)
Matchday 9,2026-06-19,2026-06-19T22:00:00Z,Scotland,Morocco,0,1,Group C,Boston (Foxborough)
Matchday 9,2026-06-19,2026-06-20T00:30:00Z,Brazil,Haiti,3,0,Group C,Philadelphia
Matchday 14,2026-06-24,2026-06-24T22:00:00Z,Scotland,Brazil,0,3,Group C,Miami (Miami Gardens)
Matchday 14,2026-06-24,2026-06-24T22:00:00Z,Morocco,Haiti,4,2,Group C,Atlanta
Matchday 2,2026-06-12,2026-06-13T01:00:00Z,USA,Paraguay,4,1,Group D,Los Angeles (Inglewood)
Matchday 3,2026-06-13,2026-06-14T04:00:00Z,Australia,Turkey,2,0,Group D,Vancouver
Matchday 9,2026-06-19,2026-06-19T19:00:00Z,USA,Australia,2,0,Group D,Seattle
Matchday 9,2026-06-19,2026-06-20T03:00:00Z,Turkey,Paraguay,0,1,Group D,San Francisco Bay Area (Santa Clara)
Matchday 15,2026-06-25,2026-06-26T02:00:00Z,Turkey,USA,3,2,Group D,Los Angeles (Inglewood)
Matchday 15,2026-06-25,2026-06-26T02:00:00Z,Paraguay,Australia,0,0,Group D,San Francisco Bay Area (Santa Clara)
Matchday 4,2026-06-14,2026-06-14T17:00:00Z,Germany,Curaçao,7,1,Group E,Houston
Matchday 4,2026-06-14,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,1,0,Group E,Philadelphia
Matchday 10,2026-06-20,2026-06-20T20:00:00Z,Germany,Ivory Coast,2,1,Group E,Toronto
Matchday 10,2026-06-20,2026-06-21T00:00:00Z,Ecuador,Curaçao,0,0,Group E,Kansas City
Matchday 15,2026-06-25,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,0,2,Group E,Philadelphia
Matchday 15,2026-06-25,2026-06-25T20:00:00Z,Ecuador,Germany,2,1,Group E,New York/New Jersey (East Rutherford)
Matchday 4,2026-06-14,2026-06-14T20:00:00Z,Netherlands,Japan,2,2,Group F,Dallas (Arlington)
Matchday 4,2026-06-14,2026-06-15T02:00:00Z,Sweden,Tunisia,5,1,Group F,Monterrey (Guadalupe)
